矩阵宽度,dp耗时,蛮力耗时
10,11,18
15,19,54
20,30,88
25,45,130
30,62,189
35,83,265
40,107,342
45,136,404
50,155,502
55,184,592
60,218,691
65,254,861
70,295,992
75,338,1148
80,382,1307
85,438,1463
90,478,1595
95,533,1864
100,588,2001
105,648,2224
110,705,2413
115,784,2687
120,860,2923
125,920,3154
130,995,3449
135,1061,3659
140,1138,3925
145,1228,4299
150,1307,4559
155,1391,4815
160,1479,5192
165,1581,5501
170,1710,5856
175,1773,6210
180,1880,6666
185,1979,7016
190,2084,7348
195,2200,7753
200,2295,8151
